uid,Nudge,Lever,Ramp,Pendulum,Springboard,Down Hill,Lead the Ball,Chocolate Factory,Around the Tree,Big Watermill,Sunny Day,Wavy,On the Upswing,Shark,One at a time,Scale,Cloudy Day,Crazy Seesaw,Roller coaster,Uphill Battle,Little Mermaid,Ultimate Pinball,Yippie!,Diving Board,Stiff Curtains,Diving Board World,Need Fulcrum,Timing is Everything,Perfect Toss,Up in the Air,Spider Web,Can Opener,quit,silver,gold
C1809,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,quit,NA,gold,gold,gold,gold,silver,NA,NA,silver,gold,silver,NA,NA,quit,gold,silver,quit,NA,silver,NA,5,10,10
C3496,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,gold,gold,gold,quit,quit,silver,gold,quit,NA,NA,quit,gold,gold,NA,quit,quit,NA,NA,quit,NA,quit,gold,8,7,11
C3698,silver,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,silver,gold,quit,gold,gold,quit,NA,quit,NA,quit,gold,NA,NA,quit,quit,quit,quit,quit,NA,quit,NA,10,7,9
D3542,silver,silver,silver,silver,silver,gold,gold,gold,gold,gold,gold,gold,gold,silver,gold,silver,gold,gold,NA,gold,gold,gold,gold,gold,silver,silver,gold,gold,gold,gold,gold,gold,0,9,22
D3485,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,gold,quit,quit,gold,silver,gold,quit,quit,quit,quit,quit,silver,quit,quit,quit,quit,quit,quit,NA,silver,quit,16,8,7
D3867,silver,silver,silver,silver,silver,gold,gold,gold,silver,silver,silver,silver,gold,quit,gold,gold,silver,quit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,6
C3261,silver,silver,silver,silver,silver,gold,gold,gold,gold,silver,gold,gold,gold,gold,gold,gold,silver,silver,NA,silver,gold,gold,silver,silver,quit,quit,silver,gold,quit,NA,silver,gold,3,13,14
C3676,silver,silver,silver,silver,silver,silver,gold,NA,gold,NA,silver,silver,silver,quit,gold,silver,silver,quit,NA,silver,quit,gold,quit,NA,NA,NA,quit,NA,NA,NA,silver,NA,5,13,4
E1775,silver,silver,silver,silver,silver,gold,gold,silver,silver,gold,NA,NA,NA,silver,gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,4
D2697,silver,silver,silver,silver,silver,gold,gold,NA,gold,gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,4
