"","uid","context","timestamp","currentMoney","appId","mess","money","onWhat","LS_duration","learningSupportType"
"133","C3115","Little Mermaid","2022-11-29 08:50:42",NA,NA,"LS Watched",NA,"physAnim_springboard",30.7669999599457,"physAnim_springboard"
"134","C0022","Cloudy Day","2022-11-29 08:50:43",NA,NA,"LS Watched",NA,"physAnim_pendulum",12.835000038147,"physAnim_pendulum"
"135","F3452","Wavy","2022-11-29 08:50:51",NA,NA,"LS Watched",NA,"hint",2.30100011825562,"hint"
"136","C0066","Wavy","2022-11-29 08:50:54",NA,NA,"LS Watched",NA,"physAnim_lever",50.1370000839233,"physAnim_lever"
"137","F3452","Wavy","2022-11-29 08:51:14",NA,NA,"LS Watched",NA,"game_tools",21.7569999694824,"game_tools"
"138","F3452","Wavy","2022-11-29 08:51:14",NA,NA,"LS Watched",NA,"",21.757,""
"139","C0022","Cloudy Day","2022-11-29 08:51:25",NA,NA,"LS Watched",NA,"physAnim_pendulum",6.5460000038147,"physAnim_pendulum"
"140","F3452","Wavy","2022-11-29 08:51:30",NA,NA,"LS Watched",NA,"hint",1.83100008964539,"hint"
"141","F3452","Wavy","2022-11-29 08:51:40",NA,NA,"LS Watched",NA,"hint",2.36500000953674,"hint"
"142","D0213","Stiff Curtains","2022-11-29 08:51:45",NA,NA,"LS Watched",NA,"",0,""
"143","A3339","Ultimate Pinball","2022-11-29 08:51:45",NA,NA,"LS Watched",NA,"",0,""
"144","C3115","Little Mermaid","2022-11-29 08:51:48",NA,NA,"LS Watched",NA,"physAnim_springboard",66.7200000286102,"physAnim_springboard"
"145","E0224","Stiff Curtains","2022-11-29 08:51:55",NA,NA,"LS Watched",NA,"hint",1.91100001335144,"hint"
"146","D3418","Stiff Curtains","2022-11-29 08:52:02",NA,NA,"LS Watched",NA,"",0,""
"147","D3317","Shark","2022-11-29 08:52:23",NA,NA,"LS Watched",NA,"physAnim_lever",26.1459999084473,"physAnim_lever"
"148","D0213","Stiff Curtains","2022-11-29 08:52:43",NA,NA,"LS Watched",NA,"physAnim_springboard",3.53800010681152,"physAnim_springboard"
"149","A0202","Cloudy Day","2022-11-29 08:52:55",NA,NA,"LS Watched",NA,"",0,""
"150","D0077","Crazy Seesaw","2022-11-29 08:53:06",NA,NA,"LS Watched",NA,"",0,""
"151","C3104","Little Mermaid","2022-11-29 08:54:16",NA,NA,"LS Watched",NA,"physAnim_springboard",103.77,"physAnim_springboard"
"152","C3586","Ramp","2022-11-29 09:15:28",NA,NA,"LS Watched",NA,"",8.34500002861023,""
"153","C3586","Ramp","2022-11-29 09:15:28",NA,NA,"LS Watched",NA,"game_tools",8.345,"game_tools"
"154","C3395","Chocolate Factory","2022-11-29 09:17:13",NA,NA,"LS Watched",NA,"",0,""
"155","F0101","Springboard","2022-11-29 09:19:37",NA,NA,"LS Watched",NA,"game_tools",10.4700000286102,"game_tools"
"156","F0101","Springboard","2022-11-29 09:19:37",NA,NA,"LS Watched",NA,"",10.47,""
