"","StudyID","ID1","ID2","Midtest","Posttest","Condition","CognitiveSupports","AffectiveECD","AffectivePOT","Progress","Duration (in seconds)","Finished","RecordedDate","Age","Sex","American Indian or Alaska Native","Asian","Black or African American","Hispanic","Native Hawaiian or Pacific Islander","White","Other (enter)","Prefer not to say","Other_TEXT","Gaming","Physics","A-NQ1","A-NQ2","A-NQ3","A-NQ4","A-NQ5","A-NQ6","A-NQ7","A-NQ8","A-NQ9","A-NQ10","A-NQ11","A-NQ12","A-NQ13","A-NQ14","A-FQ1","A-FQ2","A-FQ3","A-FQ4","A-FQ5","A-FQ6","A-FQ7","A-FQ8","A-FQ9","A-FQ10","A-FQ11","A-FQ12","A-FQ13","A-FQ14","SC0","Gender","Ethnicity","A-NQ1_scored","A-NQ2_scored","A-NQ3_scored","A-NQ4_scored","A-NQ5_scored","A-NQ6_scored","A-NQ7_scored","A-NQ8_scored","A-NQ9_scored","A-NQ10_scored","A-NQ11_scored","A-NQ12_scored","A-NQ13_scored","A-NQ14_scored","A-FQ1_scored","A-FQ2_scored","A-FQ3_scored","A-FQ4_scored","A-FQ5_scored","A-FQ6_scored","A-FQ7_scored","A-FQ8_scored","A-FQ9_scored","A-FQ10_scored","A-FQ11_scored","A-FQ12_scored","A-FQ13_scored","A-FQ14_scored","NearECT","FarECT","NearPOT","FarPOT","Near","Far","ECT","POT","PhysicsScore","Progress.ect","Duration (in seconds).ect","Finished.ect","RecordedDate.ect","IMI_1","IMI_2","IMI_3","IMI_4","IMI_5","IMI_6","IMI_7","IMI_8","IMI_9","IMI_10","IMI_11","IMI_12","IMI_13","IMI_14","IMI_15","IMI_16","IMI_17","IMI_18","A-NQ1.ect","A-NQ2.ect","A-NQ3.ect","A-NQ4.ect","A-NQ5.ect","A-NQ6.ect","A-NQ7.ect","A-NQ8.ect","A-NQ12.ect","A-NQ13.ect","A-NQ14.ect","A-FQ1.ect","A-FQ2.ect","A-FQ3.ect","A-FQ4.ect","A-FQ5.ect","A-FQ6.ect","A-FQ7.ect","A-FQ8.ect","Q90","Q74","PA1","PA2","PA3","PA4","PA5","PA6","PA7","SC0.ect","A-NQ1_scored.ect","A-NQ2_scored.ect","A-NQ3_scored.ect","A-NQ4_scored.ect","A-NQ5_scored.ect","A-NQ6_scored.ect","A-NQ7_scored.ect","A-NQ8_scored.ect","A-NQ12_scored.ect","A-NQ13_scored.ect","A-NQ14_scored.ect","A-FQ1_scored.ect","A-FQ2_scored.ect","A-FQ3_scored.ect","A-FQ4_scored.ect","A-FQ5_scored.ect","A-FQ6_scored.ect","A-FQ7_scored.ect","A-FQ8_scored.ect","NearECTpost","FarECTpost","ECTpost","IMI","IMI_Enj","IMI_Eng","IMI_PC","IMI_Effort","IMI_Frust","IMI_Value","PA","Progress.pot","Duration (in seconds).pot","Finished.pot","RecordedDate.pot","IMI_1.pot","IMI_2.pot","IMI_3.pot","IMI_4.pot","IMI_5.pot","IMI_6.pot","IMI_7.pot","IMI_8.pot","IMI_9.pot","IMI_10.pot","IMI_11.pot","IMI_12.pot","IMI_13.pot","IMI_14.pot","IMI_15.pot","IMI_16.pot","IMI_17.pot","IMI_18.pot","A-NQ9.pot","A-NQ10.pot","A-NQ11.pot","A-NQ12.pot","A-NQ13.pot","A-NQ14.pot","A-FQ9.pot","A-FQ10.pot","A-FQ11.pot","A-FQ12.pot","A-FQ13.pot","A-FQ14.pot","Q90.pot","Q74.pot","PA1.pot","PA2.pot","PA3.pot","PA4.pot","PA5.pot","PA6.pot","PA7.pot","SC0.pot","A-NQ9_scored.pot","A-NQ10_scored.pot","A-NQ11_scored.pot","A-NQ12_scored.pot","A-NQ13_scored.pot","A-NQ14_scored.pot","A-FQ9_scored.pot","A-FQ10_scored.pot","A-FQ11_scored.pot","A-FQ12_scored.pot","A-FQ13_scored.pot","A-FQ14_scored.pot","NearPOTpost","FarPOTpost","POTpost","IMI.pot","IMI_Enj.pot","IMI_Eng.pot","IMI_PC.pot","IMI_Effort.pot","IMI_Frust.pot","IMI_Value.pot","PA.pot"
"126","F2024","386fd1","386fd2","ECT","POT","F",FALSE,FALSE,FALSE,100,1059,1,2022-11-28 14:32:05,12,"Male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Once a week","No","D","B","C","A","D","C","C","D","B","C","B","B","D","A","B","B","B","D","B","B","C","A","D","B","B","B","C","D",11,"Male","Black or African American",0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,3,3,4,3,7,6,6,7,13,100,533,1,2022-11-30 14:38:34,5,6,6,1,5,6,7,7,3,6,4,2,1,2,3,6,7,6,"B","B","D","C","C","B","D","B","C","D","B","D","C","A","C","B","C","B","C","F2024",4,4,2,3,1,2,4,2,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,3,83,11,12,23,13,11,13,18,100,758,1,2022-12-02 14:43:49,4,3,6,5,7,5,7,7,6,6,NA,3,4,4,6,6,7,6,"C","C",NA,"B","B","D","D","B","B","C","B","B","F2024",5,NA,NA,NA,NA,NA,NA,NA,7,0,1,0,1,0,0,0,1,0,0,0,1,4,4,8,92,7,18,25,13,16,13,0
"127","B2035","088bd1","088bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,1152,1,2022-11-28 14:34:50,12,"Male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Every day","Yes","A","C","B","D","C","B","B","A","C","D","A","B","C","C","B","C","C","B","C","B","C","B","B","B","B","D","C","B",15,"Male","Black or African American",1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,5,4,1,4,6,8,9,5,14,100,259,1,2022-12-02 14:36:33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"A","B","B","B","D","C","B","B","B","B","B","D","B","B","B","C","C","B","A","B2035",4,3,3,1,2,2,2,3,9,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,5,2,7,72,8,12,16,16,12,8,16,100,774,1,2022-11-30 14:42:22,5,1,1,7,6,6,7,1,5,4,7,7,7,1,4,1,5,6,"C","B",NA,"B","A","A","C","B","D","C","B","A","B2035",4,1,3,3,2,1,2,3,4,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,81,6,14,19,25,6,11,15
"128","A2057","022ad1","022ad2","ECT","POT","A",TRUE,FALSE,TRUE,100,1566,1,2022-11-28 14:46:39,13,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","B","C","C","C","A","A","B","B","C","A","B","B","B","A","B","B","B","B","D","C","B","C","B","A","B","C","B",16,"Male","White",1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,3,5,4,5,7,10,8,9,17,100,482,1,2022-11-30 14:38:33,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,"A","A","B","A","C","A","B","A","B","B","B","B","C","C","C","B","D","C","B","A2057",4,1,1,1,4,0,0,5,13,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,6,3,9,125,14,21,28,28,20,14,12,100,463,1,2022-12-02 14:39:17,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,"B","C",NA,"B","B","B","B","B","A","B","C","A","A2057",4,1,1,1,0,0,0,5,9,1,1,0,1,0,1,1,1,1,1,1,0,4,4,8,123,14,21,28,28,18,14,8
"129","F2068","369fd1","369fd2","ECT","POT","F",FALSE,FALSE,FALSE,100,1514,1,2022-11-28 14:35:48,12,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","Yes","A","B","D","A","C","A","B","A","D","C","B","B","A","B","A","C","D","D","B","C","D","B","B","D","A","D","C","A",17,"Male","White",1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,6,3,5,3,11,6,9,8,17,100,831,1,2022-11-30 14:43:16,7,7,7,7,6,6,5,6,7,7,7,7,7,6,7,7,5,6,"A","B","B","A","C","A","B","A","B","B","B","A","C","C","D","B","C","A","B","F2068",5,NA,NA,NA,NA,NA,NA,NA,16,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,7,5,12,117,14,20,24,28,20,11,0,100,607,1,2022-12-02 14:41:22,7,7,7,7,6,6,6,6,7,7,7,7,7,6,6,6,6,6,"B","C",NA,"B","A","B","C","D","A","D","C","A","F2068",5,NA,NA,NA,NA,NA,NA,NA,7,1,1,0,1,1,1,0,0,1,0,1,0,4,4,8,117,14,20,25,28,18,12,0
"130","A2079","030ad1","030ad2","ECT","POT","A",TRUE,FALSE,TRUE,100,2096,1,2022-11-28 14:49:05,14,"Male",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","B","C","A","A","A","B","D","B","B","D","A","B","C","A","A","B","B","B","B","B","C","B","B","A","B","B","D",13,"Male","Hispanic",1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,4,4,1,4,5,8,8,5,13,100,826,1,2022-11-30 14:43:52,4,6,7,3,4,3,1,4,4,2,5,2,7,2,4,4,5,4,"A","B","B","B","B","B","B","B","A","A","B","B","C","C","B","B","C","A","C","A2079",4,3,2,2,4,0,2,1,10,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,4,4,8,71,10,14,12,16,10,9,14,100,574,1,2022-12-02 14:35:58,3,3,5,4,2,3,2,2,4,2,6,2,4,3,5,4,4,2,"C","B",NA,"C","C","C","B","C","B","B","C","B","A2079",4,1,2,2,4,4,3,3,3,0,0,0,0,0,0,1,0,0,1,1,1,3,3,6,60,6,11,11,14,12,6,19
"131","C2080","171cd1","171cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,1200,1,2022-11-28 14:31:24,12,"Male",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Every day","Yes","D","C","C","D","C","A","B","D","D","C","B","B","B","B","A","C","A","D","B","C","A","A","B","D","C","C","C","B",15,"Male","Hispanic",0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2,3,4,3,6,6,5,7,12,100,799,1,2022-11-30 14:42:51,3,6,6,7,4,4,4,5,3,7,7,7,7,1,1,1,4,4,"D","D","A","A","A","A","B","D","B","B","D","A","C","A","D","B","D","C","B",NA,4,3,3,4,2,3,4,1,8,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,2,3,5,81,9,17,16,28,3,8,20,100,514,1,2022-12-02 14:39:50,3,6,3,5,1,4,6,4,2,5,6,6,6,1,1,1,1,4,"B","C",NA,"B","A","B","B","D","B","C","C","B",NA,4,5,2,1,2,2,4,1,8,1,1,0,1,1,1,1,0,0,0,1,1,5,3,8,65,9,9,16,23,3,5,17
"132","F2103","347fd1","347fd2","ECT","POT","F",FALSE,FALSE,FALSE,100,830,1,2022-11-28 17:53:31,13,"Nonbinary",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","B","A","B","C","A","B","B","B","C","D","B","A","D","A","C","C","C","B","C","B","B","B","B","A","B","C","A",16,"Other","White",1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,4,4,4,5,8,9,8,9,17,100,470,1,2022-11-30 18:07:10,5,5,4,6,4,3,2,4,3,5,6,5,5,2,3,4,2,3,"A","B","B","A","C","A","B","B","B","B","B","A","B","C","C","B","C","C","B","F2103",5,NA,NA,NA,NA,NA,NA,NA,13,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,6,5,11,71,10,14,12,21,9,5,0,100,483,1,2022-12-02 18:07:22,6,6,6,6,6,5,4,4,3,5,6,6,5,2,2,2,5,5,"B","C",NA,"B","A","B","B","B","B","B","C","A","F2103",5,NA,NA,NA,NA,NA,NA,NA,7,1,1,0,1,1,1,1,1,0,1,1,0,3,3,6,84,12,18,16,22,6,10,0
"133","B2114","070bd1","070bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,1252,1,2022-11-28 18:00:40,15,"Female",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","A","D","C","C","B","C","B","C","B","D","A","C","C","A","C","B","B","B","B","C","B","B","A","D","B","A","B",10,"Female","Black or African American",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,2,5,0,3,2,8,7,3,10,100,493,1,2022-12-02 18:06:24,7,4,6,5,6,4,1,3,5,4,2,5,4,5,4,4,2,3,"A","A","B","C","B","B","B","B","C","D","A","C","C","C","B","C","C","C","B","B2114",4,2,4,2,3,3,2,3,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,3,3,6,74,11,17,13,15,13,5,19,100,364,1,2022-11-30 18:08:40,4,3,4,5,2,4,1,4,7,5,4,3,7,7,3,2,2,3,"B","A",NA,"A","B","A","D","C","B","A","C","B","B2114",4,2,2,2,2,3,1,2,4,1,0,0,0,0,0,0,0,0,0,1,1,5,1,6,70,7,11,16,19,12,5,14
"134","B2125","106bd1","106bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,708,1,2022-11-28 17:53:57,14,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","Yes","A","B","B","A","C","A","B","A","A","C","D","B","B","A","A","C","B","C","B","B","A","B","A","A","C","C","C","B",19,"Male","White",1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,7,5,2,2,9,7,12,4,16,100,376,1,2022-12-02 18:04:39,4,3,4,5,4,2,1,3,6,5,5,5,4,2,6,2,3,3,"A","B","B","A","A","A","B","A","A","B","B","A","C","C","D","B","B","B","B","B2125",4,5,2,5,4,3,2,5,14,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,6,5,11,67,7,13,12,19,10,6,26,100,249,1,2022-12-01 17:39:40,5,NA,6,5,5,5,3,4,6,5,6,5,6,3,5,4,4,5,"B","A",NA,"B","A","B","A","B","C","C","C","B","B2125",5,NA,NA,NA,NA,NA,NA,NA,7,1,0,0,1,1,1,0,1,0,0,1,1,4,2,6,82,5,16,18,22,12,9,0
"135","D2147","235dd1","235dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,986,1,2022-11-29 15:20:39,13,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a week","Yes","A","B","B","A","C","A","B","A","B","A","D","B","B","B","A","C","C","D","B","B","B","D","B","B","C","C","C","B",21,"Female","White",1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,7,4,3,4,10,8,11,7,18,100,878,1,2022-12-02 15:36:07,6,7,6,7,6,5,4,5,6,6,7,7,7,1,2,2,5,3,"A","B","B","A","C","C","B","A","B","B","B","A","C","C","C","B","B","A","B","D2147",4,2,2,2,0,0,0,3,18,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,8,6,14,92,13,19,20,27,5,8,9,100,435,1,2022-11-30 15:40:29,6,6,7,7,5,4,4,5,5,7,7,7,7,4,5,4,5,4,"B","C",NA,"B","B","B","B","B","A","C","C","B","D2147",4,1,2,2,0,0,1,3,11,1,1,0,1,0,1,1,1,1,0,1,1,4,4,8,99,12,19,18,28,13,9,9
"136","C2158","152cd1","152cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,1029,1,2022-11-28 18:00:50,14,"Male",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"3-4 times a week","No","A","B","C","C","C","B","B","B","B","C","D","B","B","C","A","B","C","C","B","C","B","B","C","B","B","B","C","B",15,"Male","Hispanic",1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,4,5,3,4,7,9,9,7,16,100,313,1,2022-11-30 18:08:41,NA,1,4,4,4,2,3,5,4,2,4,3,4,5,2,4,4,3,"B","B","A","C","A","B","B","B","B","C","C","D","A","A","B","C","B","A","D",NA,4,4,4,3,1,0,NA,5,6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,2,3,5,58,1,12,14,13,11,7,17,100,339,1,2022-12-02 18:05:42,6,2,3,4,7,5,3,5,4,6,5,2,4,4,6,3,6,2,"B","C",NA,"C","B","B","B","C","B","B","C","B","C2158",5,NA,NA,NA,NA,NA,NA,NA,8,1,1,0,0,0,1,1,0,0,1,1,1,2,2,4,77,8,14,17,17,13,8,0
"137","E2170","310ed1","310ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,1050,1,2022-11-28 17:58:17,13,"Male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","A","D","A","A","B","B","A","B","C","A","B","D","C","B","B","B","C","B","B","A","B","B","B","B","B","D","D",13,"Male","Black or African American",1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,4,5,3,3,7,8,9,6,15,100,514,1,2022-12-02 18:08:06,6,7,6,6,6,5,6,5,4,7,7,7,6,1,1,1,7,6,"A","B","B","A","B","B","A","D","B","B","A","A","C","C","C","B","B","B","B","E2170",5,NA,NA,NA,NA,NA,NA,NA,12,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,4,5,9,94,13,18,20,27,3,13,0,100,372,1,2022-11-30 18:08:57,6,6,6,7,7,4,6,4,4,7,7,7,5,2,1,1,6,5,"B","C","A","B","A","B","A","B","A","B","D","C","E2170",5,NA,NA,NA,NA,NA,NA,NA,6,1,1,0,1,1,1,0,1,1,1,0,0,4,5,9,91,12,20,18,26,4,11,0
"138","C2192","198cd1","198cd2","ECT","POT","C",TRUE,TRUE,FALSE,100,1199,1,2022-11-28 18:00:59,13,"Male",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"3-4 times a week","Yes","B","A","A","A","A","A","C","B","B","B","B","B","B","B","B","A","C","C","B","B","A","B","B","C","B","C","B","B",14,"Male","Black or African American",0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,5,4,2,5,7,6,6,12,100,573,1,2022-11-30 18:09:10,4,3,4,4,6,4,4,7,5,6,6,6,6,1,4,2,4,5,"B","B","A","A","B","B","B","B","B","A","A","B","A","B","B","B","C","C","C","C2192",4,2,NA,2,3,3,2,2,6,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,3,2,5,81,7,14,20,24,7,9,14,100,609,1,2022-12-02 18:08:37,4,4,4,6,5,5,4,5,6,4,3,5,5,2,3,4,4,5,"D","D",NA,"B","B","B","A","B","C","B","D","A","C2192",4,2,4,2,3,2,2,3,5,0,0,0,1,0,1,0,1,0,1,0,0,5,3,8,78,8,15,20,17,9,9,18
"139","E2215","275ed1","275ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,840,1,2022-11-28 17:55:16,13,"Female",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Never","Yes","A","A","A","D","C","A","D","C","C","B","D","B","C","D","A","B","B","C","B","A","C","B","B","B","A","A","A","B",10,"Female","Black or African American",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,2,4,1,4,3,8,6,5,11,100,434,1,2022-12-02 18:06:00,4,4,4,4,4,4,4,4,4,4,7,4,7,4,4,1,4,4,"B","B","C","B","B","B","A","B","C","D","C","C","B","C","C","C","B","B","B",NA,5,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,4,5,75,8,12,16,22,9,8,0,100,284,1,2022-11-30 18:07:30,6,2,7,4,7,6,4,6,7,4,7,4,7,4,1,6,3,4,"C","B",NA,"C","C","B","B","A","B","B","B","C",NA,4,1,1,3,4,4,4,5,3,0,0,0,0,0,1,1,0,0,1,0,0,4,3,7,89,8,18,23,22,11,7,22
"140","E2260","301ed1","301ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,843,1,2022-11-28 17:53:53,14,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a week","No","A","B","B","A","A","A","B","A","B","C","B","B","A","C","A","C","C","A","B","B","B","C","B","B","B","A","C","A",18,"Male","White",1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,6,4,5,3,11,7,10,8,18,100,376,1,2022-12-02 18:04:57,4,6,5,4,3,4,4,6,5,3,4,4,4,3,4,4,3,4,"A","A","A","A","A","A","A","A","A","A","A","B","B","A","A","A","A","A","B","E2260",5,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,3,3,6,74,10,12,19,15,11,7,0,100,324,1,2022-11-30 18:04:24,4,6,6,6,3,4,4,4,5,5,4,4,6,4,4,3,4,3,"B","A","A","B","A","D","B","A","A","B","D","C","E2260",5,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,1,1,0,1,0,1,1,0,0,4,4,8,79,10,15,17,19,11,7,0
"141","D2271","249dd1","249dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1218,1,2022-11-28 19:39:24,14,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Every day","Yes","A","B","B","A","C","B","B","A","B","C","B","B","B","B","A","C","C","D","C","A","B","B","C","B","C","B","B","B",19,"Male","White",1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,7,3,5,3,12,6,10,8,18,100,1082,1,2022-12-02 19:41:45,6,6,6,6,7,7,7,7,7,7,6,7,7,2,6,7,6,6,"A","B","B","A","C","A","B","A","B","A","B","A","C","C","D","B","B","A","C","D2271",4,1,1,1,1,2,1,3,15,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,7,5,12,113,12,19,28,27,15,12,10,100,411,1,2022-11-30 19:49:19,6,6,6,7,7,6,6,6,7,7,4,7,7,7,7,7,4,5,"B","C",NA,"B","B","B","C","B","A","B","C","B","D2271",4,2,1,1,1,0,0,3,10,1,1,0,1,0,1,0,1,1,1,1,1,2,1,3,112,12,20,25,25,21,9,8
"142","E2361","290ed1","290ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,1181,1,2022-11-29 16:20:48,13,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","Yes","A","B","B","A","D","A","B","A","B","C","D","B","B","B","A","C","C","D","B","D","C","B","B","B","B","B","C","B",20,"Male","White",1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,6,4,4,5,10,9,10,9,19,100,563,1,2022-12-02 16:30:28,5,5,6,6,4,5,5,6,6,4,6,4,4,2,6,4,4,4,"A","B","B","A","B","B","B","A","B","B","B","A","C","C","D","B","C","B","B","E2361",5,NA,NA,NA,NA,NA,NA,NA,14,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,6,4,10,86,10,16,22,18,12,8,0,100,437,1,2022-11-30 16:27:54,5,4,4,6,5,5,6,6,5,5,5,6,5,6,6,6,4,4,"B","C",NA,"B","B","B","B","B","A","B","B","B","E2361",5,NA,NA,NA,NA,NA,NA,NA,9,1,1,0,1,0,1,1,1,1,1,0,1,3,4,7,93,9,15,22,21,18,8,0
"143","D2372","251dd1","251dd2","POT","ECT","D",TRUE,FALSE,TRUE,100,1024,1,2022-11-29 14:25:27,12,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Never","Yes","A","B","D","A","C","A","B","A","B","B","B","B","A","B","A","C","C","D","B","C","A","B","C","B","A","C","C","B",21,"Female","White",1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,6,5,5,4,11,9,11,9,20,100,511,1,2022-12-02 14:44:31,NA,1,7,2,2,1,1,2,2,4,7,4,4,1,1,1,3,4,"A","A","B","A","C","A","B","A","B","B","B","A","C","A","D","B","C","B","B","D2372",4,2,3,3,2,3,3,3,13,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,6,3,9,47,1,11,6,19,3,7,19,100,565,1,2022-11-30 14:41:37,1,2,3,4,2,2,1,4,1,5,5,6,4,2,2,2,6,4,"B","C",NA,"B","B","B","C","B","A","C","C","B","D2372",4,2,4,2,2,2,3,4,11,1,1,0,1,0,1,0,1,1,0,1,1,5,4,9,56,3,9,8,20,6,10,19
"144","E2394","324ed1","324ed2","POT","ECT","E",FALSE,FALSE,FALSE,100,1680,1,2022-11-29 19:46:13,13,"Female",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"Once a month or less","No","A","B","B","A","C","A","D","A","B","C","B","B","B","B","A","C","C","C","B","A","A","B","C","B","A","B","C","B",22,"Female","White",1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,6,5,5,5,11,10,11,10,21,100,658,1,2022-12-02 20:26:52,6,6,6,7,6,4,4,5,5,5,6,4,6,3,4,1,5,4,"A","C","B","A","C","A","B","A","B","B","B","A","C","C","C","B","C","D","B","E2394",5,NA,NA,NA,NA,NA,NA,NA,14,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,6,4,10,87,12,19,18,21,8,9,0,100,489,1,2022-11-30 19:50:03,4,6,6,7,6,4,3,4,5,4,6,4,6,3,4,1,5,4,"B","C",NA,"B","D","B","C","B","A","B","C","B","E2394",5,NA,NA,NA,NA,NA,NA,NA,8,1,1,0,1,0,1,0,1,1,1,1,1,4,4,8,82,10,19,16,20,8,9,0
"145","B2451","095bd1","095bd2","POT","ECT","B",TRUE,TRUE,FALSE,100,969,1,2022-11-29 16:22:42,13,"Male",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,"3-4 times a week","No","A","B","D","C","A","A","B","B","A","B","B","B","B","B","A","C","C","D","B","B","A","B","D","B","A","A","B","A",16,"Male","White",1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,3,6,3,2,6,8,9,5,14,100,426,1,2022-12-02 16:28:13,6,6,5,5,5,4,4,5,3,7,6,6,6,3,4,4,5,5,"A","B","A","A","D","C","B","B","B","A","B","A","C","C","C","B","B","C","B","B2451",4,4,4,4,4,4,4,3,13,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,5,5,10,89,12,15,16,25,11,10,27,100,307,1,2022-11-30 16:25:40,7,6,4,4,5,6,4,6,5,6,6,6,6,4,5,6,7,6,"B","B",NA,"B","C","B","B","A","A","A","B","A","B2451",4,3,2,2,1,1,4,2,6,1,0,0,1,0,1,1,0,1,0,0,0,3,4,7,99,13,13,21,24,15,13,15
